term,sat,tothrs,cumgpa,major,season,frstsem,crsgpa,crspop,verbmath,trmgpa,hssize,race,hsrank,sport,id,spring,female,black,white,ctrmgpa,ctothrs,ccrsgpa,ccrspop,cseason,hsperc
8808,920,31,2.25,505,0,0,2.6464,1006.5,.48387,1.5,10,1,4,"tennis",22,0,1,0,0,,,,,,40
8901,920,43,2.04,505,1,0,2.5077,944.25,.48387,2.25,10,1,4,"tennis",22,1,1,0,0,.75,12,-.1387,-62.25,1,40
8808,780,28,2.03,601,0,0,2.8679,920,.81395,2.2,123,6,102,"baseball",35,0,0,0,1,,,,,,82.92683
8901,780,43,2.09,531,1,0,2.8839,846.75,.81395,1.6,123,6,102,"baseball",35,1,0,0,1,-.6,15,.016,-73.25,1,82.92683
8808,810,0,0,601,0,1,2.7634,1098.17,.88372,1.6,119,6,42,"baseball",36,0,0,0,1,,,,,,35.29412
8901,810,14,1.78,601,1,0,2.56,1170.5,.88372,1.29,119,6,42,"baseball",36,1,0,0,1,-.3100001,14,-.2034001,72.32996,1,35.29412
8808,1080,0,0,402,1,1,2.5149,1516,.8,2,318,6,31,"soccer",156,0,0,0,1,,,,,,9.748427
8901,1080,17,2,402,0,0,2.4764,1195.8,.8,2.73,318,6,31,"soccer",156,1,0,0,1,.73,17,-.0385001,-320.2,-1,9.748427
8808,960,91,2.35,531,1,0,2.8535,363.6,1,2.8,383,6,66,"wrestlin",246,0,0,0,1,,,,,,17.23238
8901,960,106,2.41,531,0,0,2.7414,270.8,1,2.6,383,6,66,"wrestlin",246,1,0,0,1,-.2,15,-.1120999,-92.80002,-1,17.23238
8808,790,0,0,350,1,1,2.4137,1398,1.13514,1.29,44,2,27,"soccer",264,0,0,1,0,,,,,,61.36364
8901,790,12,1.16,350,0,0,2.5918,736.83,1.13514,.25,44,2,27,"soccer",264,1,0,1,0,-1.04,12,.1780999,-661.17,-1,61.36364
8808,820,25,2.12,331,1,0,2.6297,1284.6,.78261,1.5,344,2,36,"bball",326,0,1,1,0,,,,,,10.46512
8901,820,41,1.87,331,1,0,2.9289,504,.78261,2,344,2,36,"bball",326,1,1,1,0,.5,16,.2992001,-780.6,0,10.46512
8808,820,30,1.93,531,1,0,2.6114,1009,.90698,2.5,228,6,155,"soccer",410,0,0,0,1,,,,,,67.98245
8901,820,42,2.09,531,0,0,2.7092,686,.90698,1.6,228,6,155,"soccer",410,1,0,0,1,-.9,12,.0978,-323,-1,67.98245
8808,1040,0,0,531,1,1,2.3983,1261.17,.92593,2.18,91,6,8,"swim",412,0,0,0,1,,,,,,8.791209
8901,1040,17,2.17,531,1,0,2.5643,1147.67,.92593,2.13,91,6,8,"swim",412,1,0,0,1,-.05,17,.1660001,-113.5,0,8.791209
8808,730,34,1.97,531,1,0,2.7986,1126,.78049,1.75,482,2,273,"football",428,0,0,1,0,,,,,,56.639
8901,730,50,1.9,531,0,0,2.8696,1140.5,.78049,2.5,482,2,273,"football",428,1,0,1,0,.75,16,.0710001,14.5,-1,56.639
8808,780,59,2.38,520,1,0,2.8955,972,.69565,2.5,78,6,17,"football",452,0,0,0,1,,,,,,21.79487
8901,780,71,2.4,520,0,0,2.7555,754.67,.69565,2.33,78,6,17,"football",452,1,0,0,1,-.1700001,12,-.1399999,-217.33,-1,21.79487
8808,830,62,2.01,538,1,0,2.942,920.25,1.02439,1.75,196,2,54,"bball",477,0,0,1,0,,,,,,27.55102
8901,830,74,1.97,538,1,0,2.6398,380,1.02439,1.4,196,2,54,"bball",477,1,0,1,0,-.35,12,-.3021998,-540.25,0,27.55102
8808,710,120,2.02,675,1,0,2.6198,305.75,1.08824,.5,300,2,226,"football",509,0,0,1,0,,,,,,75.33334
8901,710,132,1.88,675,0,0,3.0175,192,1.08824,1.08,300,2,226,"football",509,1,0,1,0,.58,12,.3976998,-113.75,-1,75.33334
8808,980,35,2.08,375,1,0,2.4058,982,.92157,1.75,152,2,45,"football",513,0,0,1,0,,,,,,29.60526
8901,980,47,2,375,0,0,2.8379,883,.92157,2.11,152,2,45,"football",513,1,0,1,0,.3599999,12,.4320998,-99,-1,29.60526
8808,740,93,2,538,1,0,2.425,483.75,.89744,1.25,312,2,161,"football",528,0,0,1,0,,,,,,51.60257
8901,740,105,1.91,538,0,0,2.8806,134,.89744,1.5,312,2,161,"football",528,1,0,1,0,.25,12,.4556,-349.75,-1,51.60257
8808,1180,93,3.03,517,1,0,2.9097,294.5,.87302,2.75,637,6,255,"swim",552,0,0,0,1,,,,,,40.0314
8901,1180,105,3,517,1,0,2.5798,188,.87302,3,637,6,255,"swim",552,1,0,0,1,.25,12,-.3299,-106.5,0,40.0314
8808,700,26,2.34,319,1,0,3.1249,843,1,2.5,32,6,22,"bball",628,0,0,0,1,,,,,,68.75
8901,700,38,2.39,319,1,0,2.9418,805,1,1.6,32,6,22,"bball",628,1,0,0,1,-.9,12,-.1831,-38,0,68.75
8808,520,72,1.58,960,1,0,2.8346,194.75,1,2.25,462,6,358,"football",648,0,0,0,1,,,,,,77.48917
8901,520,84,1.67,960,0,0,3.2181,502.8,1,2,462,6,358,"football",648,1,0,0,1,-.25,12,.3835001,308.05,-1,77.48917
8808,720,39,1.76,505,1,0,2.5976,1339.75,.84615,1.25,283,2,76,"football",657,0,0,1,0,,,,,,26.85512
8901,720,51,1.64,531,0,0,2.8963,1350.2,.84615,1.6,283,2,76,"football",657,1,0,1,0,.35,12,.2987001,10.44995,-1,26.85512
8808,940,0,0,660,1,1,2.6809,812.67,.77358,2.63,194,6,85,"vball",684,0,1,0,1,,,,,,43.81443
8901,940,17,2.58,660,0,0,2.7455,1150.33,.77358,2.63,194,6,85,"vball",684,1,1,0,1,0,17,.0646,337.66,-1,43.81443
8808,960,0,0,517,1,1,2.9238,1154.43,.77778,2.06,447,2,320,"football",686,0,0,1,0,,,,,,71.58836
8901,960,15,2.33,517,0,0,2.5197,1723.67,.77778,1.33,447,2,320,"football",686,1,0,1,0,-.7299999,15,-.4040999,569.24,-1,71.58836
8808,870,27,2.03,531,1,0,2.8428,664,.85106,2.08,371,6,259,"swim",692,0,0,0,1,,,,,,69.81132
8901,870,40,2.05,531,1,0,2.8471,721.33,.85106,1.29,371,6,259,"swim",692,1,0,0,1,-.79,13,.0043001,57.33002,0,69.81132
8808,890,25,2.44,960,1,0,2.6289,527.5,.78,2.5,124,6,50,"soccer",697,0,0,0,1,,,,,,40.32258
8901,890,37,2.45,960,0,0,2.9548,635.75,.78,3,124,6,50,"soccer",697,1,0,0,1,.5,12,.3258998,108.25,-1,40.32258
8808,840,85,2.07,531,0,0,2.7164,567.8,1,2,116,6,16,"baseball",706,0,0,0,1,,,,,,13.7931
8901,840,100,2.06,531,1,0,2.6447,352.57,1,2.29,116,6,16,"baseball",706,1,0,0,1,.29,15,-.0716999,-215.23,1,13.7931
8808,810,30,2.7,601,1,0,2.5105,1061,1.07692,2.5,227,6,56,"vball",744,0,1,0,1,,,,,,24.6696
8901,810,42,2.64,347,0,0,3.2227,633.6,1.07692,2.85,227,6,56,"vball",744,1,1,0,1,.3499999,12,.7122002,-427.4,-1,24.6696
8808,820,31,2.22,640,1,0,2.7978,519.33,1.10256,2.33,571,5,344,"soccer",759,0,0,0,0,,,,,,60.24518
8901,820,40,2.25,640,0,0,2.8461,966.4,1.10256,3,571,5,344,"soccer",759,1,0,0,0,.6700001,9,.0483,447.07,-1,60.24518
8808,970,23,2.86,531,0,0,2.5771,1019.6,.67241,1.75,566,6,83,"baseball",771,0,0,0,1,,,,,,14.66431
8901,970,39,2.41,531,1,0,2.8763,1112.75,.67241,2,566,6,83,"baseball",771,1,0,0,1,.25,16,.2992001,93.15002,1,14.66431
8808,790,0,0,635,1,1,2.7025,1384.17,1.07895,2.82,597,6,72,"football",792,0,0,0,1,,,,,,12.0603
8901,790,17,2.82,635,0,0,2.6371,1022.25,1.07895,1.75,597,6,72,"football",792,1,0,0,1,-1.07,17,-.0654001,-361.92,-1,12.0603
8808,800,0,0,310,1,1,2.6648,1246.4,.81818,2.13,310,6,95,"bball",798,0,1,0,1,,,,,,30.64516
8901,800,13,2.15,310,1,0,2.7442,1057,.81818,2.64,310,6,95,"bball",798,1,1,0,1,.51,13,.0794001,-189.4,0,30.64516
8808,680,33,2.93,538,1,0,2.8994,1169.17,.74359,2.56,328,6,122,"bball",806,0,1,0,1,,,,,,37.19512
8901,680,49,2.81,538,1,0,2.4809,901.75,.74359,2,328,6,122,"bball",806,1,1,0,1,-.5599999,16,-.4184999,-267.42,0,37.19512
8808,850,0,0,353,1,1,2.8328,1187.5,.80851,2.71,73,6,5,"bball",809,0,1,0,1,,,,,,6.849315
8901,850,15,2.66,353,1,0,2.7226,1221.2,.80851,3.07,73,6,5,"bball",809,1,1,0,1,.3599999,15,-.1101999,33.69995,0,6.849315
8808,820,80,2.27,531,0,0,2.8979,504,.70833,2.2,131,6,98,"golf",823,0,0,0,1,,,,,,74.80916
8901,820,95,2.26,531,1,0,2.9492,283.8,.70833,2,131,6,98,"golf",823,1,0,0,1,-.2,15,.0512998,-220.2,1,74.80916
8808,1120,0,0,531,1,1,2.1683,1592.33,.67164,2.33,488,6,20,"swim",828,0,0,0,1,,,,,,4.098361
8901,1120,12,2.33,531,1,0,2.5011,1562,.67164,2.25,488,6,20,"swim",828,1,0,0,1,-.0799999,12,.3328001,-30.32996,0,4.098361
8808,450,1,4,317,1,0,2.9188,641.67,.8,1.43,118,2,46,"football",831,0,0,1,0,,,,,,38.98305
8901,450,13,1.69,317,0,0,2.7077,590.2,.8,1.79,118,2,46,"football",831,1,0,1,0,.36,12,-.2111001,-51.46997,-1,38.98305
8808,880,26,2.34,665,1,0,3.172,462,1.09524,2.41,407,6,70,"track",836,0,1,0,1,,,,,,17.19902
8901,880,43,2.37,665,1,0,2.7853,393.5,1.09524,2.5,407,6,70,"track",836,1,1,0,1,.0899999,17,-.3866999,-68.5,0,17.19902
8808,1010,28,1.5,314,1,0,2.8047,825.75,1.14894,1.27,106,6,55,"wrestlin",863,0,0,0,1,,,,,,51.88679
8901,1010,42,1.33,314,0,0,2.6747,1075,1.14894,2.5,106,6,55,"wrestlin",863,1,0,0,1,1.23,14,-.1299999,249.25,-1,51.88679
8808,920,0,0,601,0,1,2.3373,1082.25,1.04444,1.86,149,6,91,"baseball",872,0,0,0,1,,,,,,61.07383
8901,920,12,1.66,601,1,0,2.7925,1308.4,1.04444,2.85,149,6,91,"baseball",872,1,0,0,1,.9899999,12,.4552,226.15,1,61.07383
8808,830,70,1.91,314,1,0,2.9047,705.5,.84444,2.8,200,2,84,"bball",889,0,0,1,0,,,,,,42
8901,830,83,1.95,314,1,0,3.0733,361.5,.84444,1.6,200,2,84,"bball",889,1,0,1,0,-1.2,13,.1685998,-344,0,42
8808,590,37,2.18,960,1,0,2.5413,1103,.68571,.5,480,2,337,"football",910,0,0,1,0,,,,,,70.20834
8901,590,49,1.77,317,0,0,2.683,928.5,.68571,1.75,480,2,337,"football",910,1,0,1,0,1.25,12,.1417,-174.5,-1,70.20834
8808,500,0,0,960,1,1,2.865,732.83,1.27273,1.21,457,6,329,"bball",911,0,0,0,1,,,,,,71.99125
8901,500,14,1.21,960,1,0,2.8875,727.67,1.27273,1.62,457,6,329,"bball",911,1,0,0,1,.41,14,.0225,-5.160034,0,71.99125
8808,1050,57,2.61,531,1,0,2.6249,752.33,1.05882,2.81,160,6,98,"soccer",916,0,0,0,1,,,,,,61.25
8901,1050,73,2.69,531,0,0,3.0854,274.4,1.05882,3.36,160,6,98,"soccer",916,1,0,0,1,.55,16,.4605,-477.93,-1,61.25
8808,570,67,1.86,531,1,0,2.7455,948.75,.96552,1,324,2,187,"football",942,0,0,1,0,,,,,,57.71605
8901,570,79,1.73,531,0,0,2.6283,1377.75,.96552,.75,324,2,187,"football",942,1,0,1,0,-.25,12,-.1172001,429,-1,57.71605
8808,970,64,3.18,517,1,0,2.6096,510,.76364,3.4,5,6,1,"swim",1077,0,1,0,1,,,,,,20
8901,970,79,3.22,517,1,0,2.6845,320.17,.76364,3.17,5,6,1,"swim",1077,1,1,0,1,-.23,15,.0748999,-189.83,0,20
8808,650,40,2.25,960,1,0,2.6315,1128.5,.80556,2,206,6,57,"football",1094,0,0,0,1,,,,,,27.6699
8901,650,52,2.19,960,0,0,2.8364,625.75,.80556,2.25,206,6,57,"football",1094,1,0,0,1,.25,12,.2049,-502.75,-1,27.6699
8808,1140,56,2.67,353,1,0,2.7851,452,.58333,2.4,241,6,24,"soccer",1128,0,0,0,1,,,,,,9.958507
8901,1140,71,2.61,353,0,0,2.8528,371.6,.58333,2.38,241,6,24,"soccer",1128,1,0,0,1,-.02,15,.0676999,-80.39999,-1,9.958507
8808,1180,69,2.98,216,1,0,2.922,376.2,1.18519,3.47,469,6,36,"soccer",1141,0,0,0,1,,,,,,7.675906
8901,1180,87,3.09,216,0,0,2.9457,182.2,1.18519,3.12,469,6,36,"soccer",1141,1,0,0,1,-.3500001,18,.0237,-194,-1,7.675906
8808,770,16,1.87,601,1,0,2.8987,338.33,.83333,2,486,6,397,"wrestlin",1157,0,0,0,1,,,,,,81.68724
8901,770,25,1.92,601,0,0,3.0706,212.33,.83333,2,486,6,397,"wrestlin",1157,1,0,0,1,0,9,.1719,-126,-1,81.68724
8808,960,0,0,538,1,1,2.5202,1266.33,.88235,3.47,430,6,65,"swim",1185,0,1,0,1,,,,,,15.11628
8901,960,16,3.56,538,1,0,2.6987,1475.83,.88235,3.81,430,6,65,"swim",1185,1,1,0,1,.3399999,16,.1784999,209.5,0,15.11628
8808,720,0,0,960,0,1,2.6784,934.5,.94595,2,430,4,230,"tennis",1187,0,1,0,0,,,,,,53.48837
8901,720,16,1.93,960,1,0,2.7374,1030,.94595,2.23,430,4,230,"tennis",1187,1,1,0,0,.23,16,.059,95.5,1,53.48837
8808,750,0,0,960,0,1,2.9692,694.83,1.08333,1.92,341,6,270,"baseball",1204,0,0,0,1,,,,,,79.17889
8901,750,12,1.91,960,1,0,2.7092,1147,1.08333,2,341,6,270,"baseball",1204,1,0,0,1,.08,12,-.26,452.17,1,79.17889
8808,960,32,2.9,538,1,0,2.7892,992.8,.88235,3.31,10,6,3,"swim",1277,0,1,0,1,,,,,,30
8901,960,45,3.02,538,1,0,3.0455,452.2,.88235,3.77,10,6,3,"swim",1277,1,1,0,1,.46,13,.2563,-540.6,0,30
8808,970,67,2.04,420,1,0,2.6975,727.5,.73214,2,10,6,3,"football",1315,0,0,0,1,,,,,,30
8901,970,79,2.03,420,0,0,2.7022,638.83,.73214,2.29,10,6,3,"football",1315,1,0,0,1,.29,12,.0046999,-88.66998,-1,30
8808,1070,62,2.12,445,1,0,2.9436,441.5,.78333,1.85,288,6,65,"football",1390,0,0,0,1,,,,,,22.56944
8901,1070,74,2.06,445,0,0,2.9238,168.25,.78333,2,288,6,65,"football",1390,1,0,0,1,.15,12,-.0197999,-273.25,-1,22.56944
8808,940,32,2.65,635,0,0,2.8248,472.5,.70909,2.33,251,6,45,"baseball",1485,0,0,0,1,,,,,,17.92829
8901,940,50,2.54,635,1,0,2.8651,512.83,.70909,2.13,251,6,45,"baseball",1485,1,0,0,1,-.1999998,18,.0402999,40.33002,1,17.92829
8808,1100,59,2.64,635,1,0,2.8895,145.75,.80328,2.5,306,6,99,"wrestlin",1640,0,0,0,1,,,,,,32.35294
8901,1100,71,2.61,635,0,0,2.7331,93.6,.80328,2.08,306,6,99,"wrestlin",1640,1,0,0,1,-.4200001,12,-.1564,-52.15,-1,32.35294
8808,1110,52,2.05,804,1,0,2.745,333.6,.94737,2.15,216,6,125,"swim",1736,0,0,0,1,,,,,,57.87037
8901,1110,65,2.07,804,1,0,2.78,291.25,.94737,2.69,216,6,125,"swim",1736,1,0,0,1,.54,13,.0350001,-42.35001,0,57.87037
8808,860,78,1.94,531,1,0,3.1855,454.4,.45763,3.14,274,6,110,"swim",1750,0,0,0,1,,,,,,40.14598
8901,860,92,2.13,531,1,0,2.692,399.25,.45763,2.75,274,6,110,"swim",1750,1,0,0,1,-.3900001,14,-.4935,-55.14999,0,40.14598
8808,1110,29,3.86,665,1,0,3.0331,532.2,.91379,3.63,48,6,20,"swim",1863,0,1,0,1,,,,,,41.66667
8901,1110,45,3.77,665,1,0,2.6594,78.75,.91379,3.69,48,6,20,"swim",1863,1,1,0,1,.0599999,16,-.3736999,-453.45,0,41.66667
8808,850,87,2.01,960,1,0,3.2487,221.67,1.02381,1.94,244,6,146,"vball",1903,0,1,0,1,,,,,,59.83607
8901,850,103,2,960,0,0,3.1378,30.8,1.02381,2.6,244,6,146,"vball",1903,1,1,0,1,.6599998,16,-.1108999,-190.87,-1,59.83607
8808,750,0,0,314,1,1,2.4407,1183,1.08333,1.27,48,6,26,"swim",1984,0,1,0,1,,,,,,54.16667
8901,750,12,1.41,960,1,0,3.0332,1118.5,1.08333,2.75,48,6,26,"swim",1984,1,1,0,1,1.48,12,.5925,-64.5,0,54.16667
8808,840,0,0,601,1,1,2.5065,1021.67,.78723,2,48,6,32,"swim",1986,0,1,0,1,,,,,,66.66666
8901,840,16,2.12,601,1,0,2.8851,917.2,.78723,2.31,48,6,32,"swim",1986,1,1,0,1,.3099999,16,.3785999,-104.47,0,66.66666
8808,1050,0,0,531,1,1,2.3848,1138.6,.75,1.8,620,6,266,"swim",2001,0,0,0,1,,,,,,42.90322
8901,1050,15,1.8,531,1,0,2.539,1132.2,.75,1.23,620,6,266,"swim",2001,1,0,0,1,-.5699999,15,.1542001,-6.400024,0,42.90322
8808,890,29,2.17,601,1,0,2.8267,543.33,.85417,2.5,550,6,114,"swim",2014,0,1,0,1,,,,,,20.72727
8901,890,43,2.27,640,1,0,2.9847,693.8,.85417,2.62,550,6,114,"swim",2014,1,1,0,1,.1199999,14,.158,150.47,0,20.72727
8808,890,63,1.93,675,1,0,2.9497,337.5,1.225,2.25,768,6,451,"swim",2046,0,1,0,1,,,,,,58.72396
8901,890,75,1.98,675,1,0,2.9981,276.8,1.225,2.94,768,6,451,"swim",2046,1,1,0,1,.6900001,12,.0483999,-60.70001,0,58.72396
8808,830,26,1.65,960,1,0,2.4387,551,.93023,1.71,161,6,147,"soccer",2101,0,0,0,1,,,,,,91.30434
8901,830,40,1.67,960,0,0,2.8498,218,.93023,2.71,161,6,147,"soccer",2101,1,0,0,1,1,14,.4111001,-333,-1,91.30434
8808,850,0,0,517,1,1,2.7077,1245,1.02381,2.4,179,6,153,"soccer",2103,0,0,0,1,,,,,,85.47486
8901,850,11,1.81,640,0,0,2.8881,758.25,1.02381,1.73,179,6,153,"soccer",2103,1,0,0,1,-.6700001,11,.1803999,-486.75,-1,85.47486
8808,770,0,0,999,1,1,2.7444,1328.83,.87805,2.31,620,6,461,"football",2107,0,0,0,1,,,,,,74.35484
8901,770,15,2.46,999,0,0,2.928,1074.4,.87805,2.31,620,6,461,"football",2107,1,0,0,1,0,15,.1835999,-254.4299,-1,74.35484
8808,910,39,2.43,538,1,0,2.9027,738.2,.89583,2.54,386,2,190,"football",2333,0,0,1,0,,,,,,49.2228
8901,910,52,2.46,538,0,0,2.461,698.75,.89583,2.25,386,2,190,"football",2333,1,0,1,0,-.29,13,-.4417,-39.45001,-1,49.2228
8808,910,0,0,402,1,1,2.7736,962.83,.82,.43,563,6,328,"swim",2395,0,0,0,1,,,,,,58.25933
8901,910,15,.6,601,1,0,2.4197,1218,.82,1.57,563,6,328,"swim",2395,1,0,0,1,1.14,15,-.3539002,255.17,0,58.25933
8808,1110,30,2.66,665,1,0,2.7469,389.8,.79032,2.69,4,6,2,"swim",2470,0,1,0,1,,,,,,50
8901,1110,46,2.67,665,1,0,2.7751,377.6,.79032,3,4,6,2,"swim",2470,1,1,0,1,.3099999,16,.0281999,-12.19998,0,50
8808,1090,84,2.41,675,1,0,2.8599,146.6,.84746,2.2,320,6,55,"vball",2487,0,1,0,1,,,,,,17.1875
8901,1090,99,2.38,675,0,0,2.9807,125.4,.84746,2.8,320,6,55,"vball",2487,1,1,0,1,.5999999,15,.1208,-21.2,-1,17.1875
8808,1170,55,3.27,334,0,0,2.6994,729,.74627,3.33,470,6,127,"baseball",2532,0,0,0,1,,,,,,27.02128
8901,1170,73,3.28,334,1,0,2.7627,417.5,.74627,3.33,470,6,127,"baseball",2532,1,0,0,1,0,18,.0633001,-311.5,1,27.02128
8808,760,28,2.75,660,1,0,2.9844,736.8,.94872,3.44,670,5,71,"soccer",2583,0,0,0,0,,,,,,10.59702
8901,760,44,3,660,0,0,2.7734,838,.94872,3.2,670,5,71,"soccer",2583,1,0,0,0,-.24,16,-.211,101.2,-1,10.59702
8808,780,0,0,601,1,1,2.7576,1282.83,.90244,2.88,654,5,81,"vball",2586,0,1,0,0,,,,,,12.38532
8901,780,14,2.85,308,0,0,2.8991,994.83,.90244,2.64,654,5,81,"vball",2586,1,1,0,0,-.24,14,.1415,-287.9999,-1,12.38532
8808,670,111,2.01,344,1,0,2.6453,551.5,.81081,1.5,277,2,61,"football",2736,0,0,1,0,,,,,,22.02166
8901,670,123,1.96,344,0,0,2.5111,1161,.81081,0,277,2,61,"football",2736,1,0,1,0,-1.5,12,-.1341999,609.5,-1,22.02166
8808,870,55,2.21,531,1,0,2.8318,513.25,.8913,2.25,462,6,236,"wrestlin",2765,0,0,0,1,,,,,,51.08225
8901,870,67,2.22,531,0,0,2.7351,689,.8913,1.75,462,6,236,"wrestlin",2765,1,0,0,1,-.5,12,-.0967,175.75,-1,51.08225
8808,850,52,1.98,531,1,0,2.6799,955,.77083,1.33,401,6,45,"football",2902,0,0,0,1,,,,,,11.22194
8901,850,61,1.88,531,0,0,2.7762,763.2,.77083,1.64,401,6,45,"football",2902,1,0,0,1,.3099999,9,.0963001,-191.8,-1,11.22194
8808,790,57,1.94,660,0,0,2.6514,660.6,.68085,1.57,403,6,193,"tennis",2931,0,0,0,1,,,,,,47.89082
8901,790,71,1.87,660,1,0,3.0024,313,.68085,2.75,403,6,193,"tennis",2931,1,0,0,1,1.18,14,.3509998,-347.6,1,47.89082
8808,1180,69,1.62,517,1,0,2.7128,792,.87302,3,321,6,167,"football",3047,0,0,0,1,,,,,,52.02492
8901,1180,81,1.82,517,0,0,2.4061,705.2,.87302,2,321,6,167,"football",3047,1,0,0,1,-1,12,-.3067,-86.79999,-1,52.02492
8808,940,65,2.41,531,1,0,3.1423,677,.64912,2.5,375,6,87,"football",3177,0,0,0,1,,,,,,23.2
8901,940,77,2.42,531,0,0,3.0954,451.33,.64912,2.38,375,6,87,"football",3177,1,0,0,1,-.1199999,12,-.0468998,-225.67,-1,23.2
8808,850,0,0,960,0,1,2.6787,1150.17,.80851,1.6,448,6,207,"tennis",3181,0,1,0,1,,,,,,46.20536
8901,850,14,1.57,960,1,0,2.7989,989,.80851,2.23,448,6,207,"tennis",3181,1,1,0,1,.63,14,.1201999,-161.17,1,46.20536
8808,540,80,1.93,317,1,0,2.7371,468.75,.58824,1.75,577,2,402,"football",3249,0,0,1,0,,,,,,69.67071
8901,540,92,1.91,317,0,0,2.559,908.75,.58824,.75,577,2,402,"football",3249,1,0,1,0,-1,12,-.1780999,440,-1,69.67071
8808,930,28,3.32,960,1,0,2.7199,690.6,1.02174,3.8,604,6,27,"swim",3321,0,1,0,1,,,,,,4.470199
8901,930,43,3.48,960,1,0,2.9337,706.4,1.02174,3,604,6,27,"swim",3321,1,1,0,1,-.8,15,.2138002,15.80005,0,4.470199
8808,810,30,2.16,665,1,0,2.7084,385.25,1.025,2.79,520,6,214,"swim",3438,0,0,0,1,,,,,,41.15385
8901,810,44,2.36,665,1,0,2.793,819.2,1.025,2.81,520,6,214,"swim",3438,1,0,0,1,.02,14,.0846,433.95,0,41.15385
8808,1130,77,3.9,505,1,0,2.733,218.4,.79365,4,450,6,1,"vball",3482,0,1,0,1,,,,,,.2222222
8901,1130,92,3.92,505,0,0,2.8489,88.17,.79365,3.63,450,6,1,"vball",3482,1,1,0,1,-.3699999,15,.1159,-130.23,-1,.2222222
8808,940,28,3.14,517,1,0,2.6767,1548.25,.46875,3.5,303,6,84,"swim",3665,0,0,0,1,,,,,,27.72277
8901,940,40,3.25,517,1,0,3.1241,719.4,.46875,3.08,303,6,84,"swim",3665,1,0,0,1,-.4200001,12,.4473999,-828.85,0,27.72277
8808,1010,80,2.36,538,0,0,2.638,575,.94231,3,457,6,123,"baseball",3718,0,0,0,1,,,,,,26.91466
8901,1010,95,2.46,538,1,0,2.9054,469.6,.94231,3.4,457,6,123,"baseball",3718,1,0,0,1,.4000001,15,.2674,-105.4,1,26.91466
8808,930,38,2.07,675,1,0,2.6668,770.75,1.02174,1.25,288,6,197,"football",3728,0,0,0,1,,,,,,68.40278
8901,930,50,1.88,675,0,0,2.9916,975,1.02174,2.23,288,6,197,"football",3728,1,0,0,1,.98,12,.3248,204.25,-1,68.40278
8808,850,66,2.09,601,1,0,2.6588,146,.93182,2,537,6,234,"swim",3758,0,0,0,1,,,,,,43.57542
8901,850,78,2.07,601,1,0,2.8992,221.83,.93182,1.94,537,6,234,"swim",3758,1,0,0,1,-.0599999,12,.2404001,75.83,0,43.57542
8808,1160,83,3.49,314,1,0,2.9958,136.8,.93333,3.4,637,6,101,"swim",3809,0,1,0,1,,,,,,15.85557
8901,1160,98,3.47,314,1,0,3.0601,206.33,.93333,3.3,637,6,101,"swim",3809,1,1,0,1,-.1000001,15,.0643001,69.53,0,15.85557
8808,900,86,2.77,640,1,0,3.0089,84,.91489,3,637,6,76,"swim",3847,0,1,0,1,,,,,,11.93093
8901,900,101,2.81,640,1,0,3.0143,222.6,.91489,2.6,637,6,76,"swim",3847,1,1,0,1,-.4000001,15,.0054002,138.6,0,11.93093
8808,920,89,2.69,860,1,0,2.9401,169.8,.87755,2.08,637,6,163,"swim",3861,0,1,0,1,,,,,,25.5887
