marr,wage,exper,age,coll,games,minutes,guard,forward,center,points,rebounds,assists,draft,allstar,avgmin,lwage,black,children,expersq,agesq,marrblck
1.00,1.00,4.00,27.00,4.00,77.00,2867.00,1.00,0.00,0.00,15.50,3.90,4.50,19.00,0.00,37.23,2.31,1.00,0.00,16.00,729,1
1.00,2.03,5.00,28.00,4.00,78.00,2789.00,1.00,0.00,0.00,13.30,2.50,8.80,28.00,0.00,35.76,3.01,1.00,1.00,25.00,784,1
0.00,0.65,1.00,25.00,4.00,74.00,1149.00,0.00,0.00,1.00,5.50,3.30,0.20,19.00,0.00,15.53,1.87,1.00,0.00,1.00,625,0
1.00,1.05,5.00,29.00,4.00,82.00,2322.00,1.00,0.00,0.00,11.60,4.00,,21.00,0.00,28.32,2.35,1.00,1.00,25.00,841,1
0.00,2.03,5.00,28.00,4.00,47.00,1178.00,0.00,1.00,0.00,7.30,5.10,1.50,1.00,0.00,25.06,3.01,1.00,0.00,25.00,784,0
0.00,0.75,3.00,24.00,4.00,82.00,2096.00,1.00,0.00,0.00,10.80,4.30,2.60,24.00,0.00,25.56,2.02,1.00,0.00,9.00,576,0
0.00,2.01,9.00,31.00,4.00,82.00,1971.00,0.00,1.00,0.00,11.30,4.90,1.50,4.00,0.00,24.04,3.00,1.00,0.00,81.00,961,0
1.00,1.06,1.00,28.00,0.00,80.00,2303.00,0.00,1.00,0.00,15.10,7.20,1.40,40.00,0.00,28.79,2.37,0.00,0.00,1.00,784,0
0.00,0.42,3.00,27.00,3.00,67.00,1131.00,0.00,1.00,0.00,6.60,4.20,0.70,47.00,0.00,16.88,1.44,1.00,0.00,9.00,729,0
1.00,0.15,1.00,25.00,4.00,60.00,542.00,1.00,0.00,0.00,3.10,0.70,2.00,0.00,0.00,9.03,0.41,1.00,0.00,1.00,625,1
1.00,3.05,12.00,35.00,3.00,74.00,2700.00,0.00,1.00,0.00,26.00,6.50,2.30,3.00,1.00,36.49,3.42,1.00,1.00,144.00,1225,1
1.00,1.03,9.00,31.00,4.00,70.00,2337.00,1.00,0.00,0.00,12.10,2.60,6.90,66.00,0.00,33.39,2.33,1.00,1.00,81.00,961,1
0.00,0.18,2.00,25.00,4.00,74.00,983.00,1.00,0.00,0.00,3.40,1.20,2.20,35.00,0.00,13.28,0.60,0.00,0.00,4.00,625,0
1.00,0.90,7.00,29.00,4.00,77.00,2746.00,1.00,0.00,0.00,10.80,4.10,10.10,12.00,0.00,35.66,2.20,1.00,1.00,49.00,841,1
0.00,0.85,1.00,23.00,4.00,51.00,767.00,0.00,1.00,0.00,4.80,2.60,1.20,20.00,0.00,15.04,2.14,1.00,0.00,1.00,529,0
1.00,1.00,8.00,30.00,4.00,82.00,2173.00,1.00,0.00,0.00,16.30,3.20,2.70,15.00,0.00,26.50,2.31,1.00,1.00,64.00,900,1
1.00,,7.00,30.00,4.00,77.00,1644.00,0.00,1.00,0.00,7.70,4.60,1.20,55.00,0.00,21.35,,1.00,1.00,49.00,900,1
1.00,2.04,6.00,28.00,4.00,82.00,2648.00,1.00,0.00,0.00,14.40,4.60,2.60,6.00,0.00,32.29,3.02,1.00,1.00,36.00,784,1
1.00,3.13,3.00,25.00,4.00,51.00,1757.00,0.00,1.00,0.00,16.40,8.80,3.60,1.00,1.00,34.45,3.44,1.00,0.00,9.00,625,1
0.00,3.12,2.00,24.00,4.00,60.00,2018.00,0.00,0.00,1.00,21.50,10.20,1.40,2.00,1.00,33.63,3.44,1.00,0.00,4.00,576,0
0.00,4.00,18.00,41.00,4.00,74.00,1987.00,0.00,0.00,1.00,11.70,7.30,1.10,8.00,0.00,26.85,3.69,1.00,0.00,324.00,1681,0
0.00,0.57,8.00,30.00,4.00,50.00,1005.00,1.00,0.00,0.00,6.20,2.70,2.10,44.00,0.00,20.10,1.74,1.00,0.00,64.00,900,0
0.00,0.62,6.00,27.00,4.00,82.00,2770.00,1.00,0.00,0.00,14.80,2.10,4.00,18.00,1.00,33.78,1.82,1.00,0.00,36.00,729,0
0.00,,1.00,25.00,4.00,67.00,690.00,0.00,1.00,0.00,3.00,2.90,0.80,25.00,0.00,10.30,,1.00,0.00,1.00,625,0
0.00,0.15,3.00,25.00,4.00,36.00,419.00,1.00,0.00,0.00,3.60,1.30,1.00,0.00,0.00,11.64,0.41,1.00,0.00,9.00,625,0
1.00,4.00,8.00,31.00,0.00,75.00,2856.00,1.00,0.00,0.00,20.10,6.10,4.60,8.00,0.00,38.08,3.69,1.00,1.00,64.00,961,1
1.00,0.15,7.00,29.00,4.00,82.00,2036.00,1.00,0.00,0.00,,1.60,2.60,50.00,0.00,24.83,0.41,0.00,1.00,49.00,841,0
0.00,0.15,8.00,30.00,4.00,34.00,682.00,0.00,1.00,0.00,5.10,3.60,1.00,28.00,0.00,20.06,0.41,0.00,0.00,64.00,900,0
1.00,1.01,1.00,26.00,0.00,75.00,1808.00,0.00,1.00,0.00,10.90,4.00,3.40,29.00,0.00,24.11,2.31,0.00,1.00,1.00,676,0
1.00,1.06,4.00,26.00,4.00,76.00,1502.00,0.00,0.00,1.00,6.90,5.70,1.40,7.00,0.00,19.76,2.36,0.00,1.00,16.00,676,0
1.00,1.02,7.00,29.00,4.00,43.00,397.00,0.00,0.00,1.00,2.70,2.90,0.80,11.00,0.00,9.23,2.32,0.00,0.00,49.00,841,0
1.00,3.01,8.00,29.00,4.00,72.00,2759.00,1.00,0.00,0.00,22.00,8.70,5.60,5.00,1.00,38.32,3.40,1.00,1.00,64.00,841,1
1.00,0.15,8.00,31.00,4.00,76.00,1371.00,0.00,0.00,1.00,7.10,4.60,0.90,16.00,0.00,18.04,0.41,0.00,1.00,64.00,961,0
1.00,1.12,9.00,31.00,4.00,51.00,814.00,1.00,0.00,0.00,6.60,0.80,1.60,84.00,0.00,15.96,2.42,1.00,0.00,81.00,961,1
0.00,0.84,3.00,24.00,3.00,73.00,1548.00,1.00,0.00,0.00,8.30,2.20,3.80,11.00,0.00,21.21,2.13,1.00,0.00,9.00,576,0
0.00,1.05,10.00,32.00,4.00,82.00,1708.00,0.00,1.00,0.00,4.60,5.40,0.50,14.00,0.00,20.83,2.35,1.00,0.00,100.00,1024,0
1.00,3.54,8.00,28.00,4.00,50.00,1838.00,0.00,0.00,1.00,17.00,10.20,3.00,1.00,0.00,36.76,3.57,1.00,1.00,64.00,784,1
0.00,3.54,4.00,27.00,4.00,70.00,965.00,0.00,1.00,0.00,5.00,2.00,1.10,2.00,0.00,13.79,3.57,0.00,0.00,16.00,729,0
0.00,1.08,4.00,26.00,4.00,57.00,1447.00,0.00,1.00,0.00,10.60,8.80,0.80,11.00,0.00,25.39,2.37,1.00,0.00,16.00,676,0
1.00,0.47,1.00,25.00,4.00,22.00,149.00,1.00,0.00,0.00,1.60,0.50,0.90,0.00,0.00,6.77,1.56,1.00,0.00,1.00,625,1
0.00,0.85,1.00,24.00,4.00,79.00,2022.00,0.00,1.00,0.00,9.40,5.10,1.60,22.00,0.00,25.59,2.14,1.00,0.00,1.00,576,0
1.00,0.31,3.00,24.00,4.00,72.00,1531.00,1.00,0.00,0.00,8.30,2.90,1.80,45.00,0.00,21.26,1.14,1.00,1.00,9.00,576,1
1.00,2.85,8.00,30.00,4.00,76.00,2386.00,1.00,0.00,0.00,17.30,3.00,7.80,25.00,1.00,31.39,3.35,0.00,1.00,64.00,900,0
1.00,2.28,9.00,31.00,4.00,82.00,2768.00,1.00,0.00,0.00,14.30,3.70,3.10,47.00,0.00,33.76,3.13,1.00,1.00,81.00,961,1
1.00,4.57,8.00,32.00,4.00,76.00,2660.00,0.00,1.00,0.00,13.70,7.60,2.50,45.00,0.00,35.00,3.82,1.00,0.00,64.00,1024,1
0.00,1.20,6.00,27.00,4.00,15.00,286.00,0.00,1.00,0.00,3.70,4.90,0.40,0.00,0.00,19.07,2.48,1.00,0.00,36.00,729,0
0.00,0.35,2.00,24.00,4.00,77.00,1165.00,1.00,0.00,0.00,5.40,2.00,1.40,28.00,0.00,15.13,1.25,1.00,0.00,4.00,576,0
0.00,0.84,4.00,25.00,3.00,50.00,428.00,0.00,0.00,1.00,2.70,1.90,0.60,33.00,0.00,8.56,2.13,1.00,0.00,16.00,625,0
0.00,2.00,3.00,24.00,3.00,82.00,3066.00,1.00,0.00,0.00,19.20,4.70,4.60,4.00,0.00,37.39,3.00,1.00,0.00,9.00,576,0
0.00,0.28,2.00,24.00,4.00,81.00,1773.00,0.00,1.00,0.00,5.80,7.50,1.20,41.00,0.00,21.89,1.01,1.00,0.00,4.00,576,0
0.00,2.03,2.00,22.00,3.00,79.00,2896.00,0.00,1.00,0.00,19.20,4.50,3.40,4.00,1.00,36.66,3.01,1.00,0.00,4.00,484,0
0.00,0.49,3.00,24.00,4.00,47.00,1255.00,0.00,0.00,1.00,11.40,5.50,1.00,30.00,0.00,26.70,1.59,1.00,0.00,9.00,576,0
0.00,1.06,4.00,25.00,4.00,79.00,1684.00,0.00,1.00,0.00,8.80,4.40,1.50,6.00,0.00,21.32,2.37,1.00,0.00,16.00,625,0
0.00,0.25,7.00,28.00,4.00,16.00,158.00,1.00,0.00,0.00,1.30,0.60,1.40,46.00,0.00,9.88,0.92,1.00,0.00,49.00,784,0
0.00,1.08,3.00,25.00,2.00,80.00,2617.00,1.00,0.00,0.00,18.00,2.10,4.50,3.00,0.00,32.71,2.38,1.00,1.00,9.00,625,0
1.00,2.16,2.00,24.00,4.00,79.00,2699.00,0.00,1.00,0.00,15.40,8.70,2.10,5.00,0.00,34.16,3.07,1.00,0.00,4.00,576,1
1.00,0.60,5.00,27.00,4.00,74.00,877.00,0.00,1.00,0.00,4.10,2.70,0.50,0.00,0.00,11.85,1.79,1.00,0.00,25.00,729,1
0.00,0.15,1.00,23.00,4.00,38.00,285.00,1.00,0.00,0.00,1.90,0.90,0.40,34.00,0.00,7.50,0.41,1.00,0.00,1.00,529,0
0.00,3.00,3.00,28.00,4.00,82.00,2853.00,0.00,0.00,1.00,12.00,11.90,1.50,4.00,0.00,34.79,3.40,1.00,0.00,9.00,784,0
0.00,,2.00,25.00,4.00,66.00,1382.00,1.00,0.00,0.00,9.60,1.90,5.40,0.00,0.00,20.94,,1.00,1.00,4.00,625,0
1.00,1.20,1.00,23.00,3.00,79.00,1406.00,0.00,1.00,0.00,8.10,2.90,1.30,9.00,0.00,17.80,2.48,1.00,0.00,1.00,529,1
0.00,1.10,1.00,24.00,4.00,82.00,2853.00,1.00,0.00,0.00,12.50,4.20,2.40,13.00,0.00,34.79,2.40,1.00,0.00,1.00,576,0
0.00,1.24,2.00,25.00,3.00,80.00,1507.00,0.00,1.00,0.00,8.00,5.60,0.60,10.00,0.00,18.84,2.52,1.00,1.00,4.00,625,0
1.00,1.26,6.00,30.00,4.00,82.00,2654.00,0.00,1.00,0.00,13.00,,3.60,0.00,0.00,32.37,2.53,1.00,0.00,36.00,900,1
1.00,1.28,9.00,31.00,4.00,69.00,2591.00,1.00,0.00,0.00,20.40,2.20,3.80,18.00,0.00,37.55,2.55,1.00,1.00,81.00,961,1
0.00,0.74,1.00,23.00,4.00,79.00,1519.00,1.00,0.00,0.00,8.50,1.50,1.30,11.00,0.00,19.23,1.99,1.00,0.00,1.00,529,0
0.00,0.90,1.00,24.00,4.00,82.00,2172.00,1.00,0.00,0.00,10.30,2.30,4.80,10.00,0.00,26.49,2.20,1.00,0.00,1.00,576,0
0.00,0.30,5.00,28.00,4.00,71.00,1163.00,0.00,0.00,1.00,5.10,4.00,1.20,17.00,0.00,16.38,1.10,0.00,0.00,25.00,784,0
0.00,1.50,3.00,24.00,4.00,42.00,496.00,1.00,0.00,0.00,3.90,1.00,1.20,8.00,0.00,11.81,2.71,1.00,0.00,9.00,576,0
1.00,0.67,2.00,24.00,4.00,69.00,1786.00,0.00,0.00,1.00,9.20,6.90,3.50,22.00,0.00,25.88,1.91,1.00,1.00,4.00,576,1
0.00,1.62,4.00,27.00,4.00,80.00,2773.00,0.00,1.00,0.00,17.30,8.40,1.50,16.00,0.00,34.66,2.78,1.00,0.00,16.00,729,0
1.00,1.00,11.00,34.00,4.00,82.00,1230.00,0.00,0.00,1.00,4.70,3.60,0.40,30.00,0.00,15.00,2.30,1.00,0.00,121.00,1156,1
1.00,1.16,4.00,24.00,4.00,69.00,1318.00,0.00,1.00,0.00,8.70,4.50,1.00,17.00,0.00,19.10,2.45,1.00,1.00,16.00,576,1
0.00,1.12,4.00,27.00,4.00,82.00,1296.00,0.00,1.00,0.00,8.20,4.90,0.50,16.00,0.00,15.80,2.42,1.00,0.00,16.00,729,0
1.00,3.34,6.00,28.00,4.00,,,1.00,0.00,0.00,,,,14.00,0.00,,3.51,1.00,1.00,36.00,784,1
0.00,0.25,3.00,26.00,4.00,76.00,1097.00,1.00,0.00,0.00,5.70,1.20,2.90,0.00,0.00,14.43,0.92,1.00,0.00,9.00,676,0
1.00,2.84,10.00,31.00,4.00,62.00,2324.00,0.00,1.00,0.00,16.80,5.60,5.10,7.00,1.00,37.48,3.35,0.00,1.00,100.00,961,0
1.00,2.41,4.00,25.00,3.00,79.00,2738.00,0.00,1.00,0.00,15.00,8.10,4.10,3.00,0.00,34.66,3.18,1.00,1.00,16.00,625,1
1.00,2.10,13.00,35.00,4.00,51.00,1022.00,1.00,0.00,0.00,14.50,1.60,1.80,18.00,0.00,20.04,3.04,1.00,1.00,169.00,1225,1
1.00,0.70,3.00,24.00,4.00,82.00,3533.00,1.00,0.00,0.00,21.00,4.90,4.70,24.00,1.00,43.09,1.95,1.00,0.00,9.00,576,1
0.00,1.60,2.00,21.00,2.00,76.00,2438.00,0.00,1.00,0.00,17.50,9.10,3.60,1.00,1.00,32.08,2.77,1.00,0.00,4.00,441,0
1.00,0.52,7.00,29.00,4.00,73.00,1225.00,1.00,0.00,0.00,5.20,1.40,2.00,0.00,0.00,16.78,1.66,0.00,0.00,49.00,841,0
0.00,0.65,2.00,24.00,4.00,66.00,1122.00,1.00,0.00,0.00,6.70,2.00,2.90,24.00,0.00,17.00,1.87,1.00,0.00,4.00,576,0
0.00,0.79,5.00,31.00,4.00,67.00,1606.00,1.00,0.00,0.00,9.30,2.70,3.10,0.00,0.00,23.97,2.07,1.00,0.00,25.00,961,0
0.00,1.10,4.00,28.00,3.00,75.00,1292.00,0.00,1.00,0.00,4.70,3.80,0.50,0.00,0.00,17.23,2.40,1.00,0.00,16.00,784,0
0.00,1.20,3.00,24.00,4.00,81.00,2370.00,0.00,1.00,0.00,9.90,5.40,2.90,11.00,0.00,29.26,2.48,1.00,0.00,9.00,576,0
0.00,1.54,7.00,29.00,4.00,75.00,2571.00,1.00,0.00,0.00,13.60,5.10,5.10,47.00,0.00,34.28,2.74,1.00,1.00,49.00,841,0
0.00,3.17,11.00,31.00,4.00,80.00,3277.00,0.00,0.00,1.00,27.30,11.90,3.60,1.00,1.00,40.96,3.46,1.00,0.00,121.00,961,0
0.00,0.22,2.00,24.00,4.00,47.00,219.00,0.00,0.00,1.00,1.90,1.30,0.20,0.00,0.00,4.66,0.81,1.00,0.00,4.00,576,0
1.00,2.28,8.00,29.00,4.00,78.00,2209.00,1.00,0.00,0.00,11.60,4.20,4.20,6.00,0.00,28.32,3.13,1.00,1.00,64.00,841,1
0.00,2.43,11.00,32.00,4.00,82.00,2909.00,0.00,1.00,0.00,14.00,10.60,2.30,9.00,0.00,35.48,3.19,1.00,0.00,121.00,1024,0
0.00,1.05,1.00,23.00,4.00,64.00,759.00,1.00,0.00,0.00,5.30,1.10,1.20,13.00,0.00,11.86,2.35,1.00,0.00,1.00,529,0
0.00,0.15,1.00,24.00,4.00,49.00,923.00,0.00,1.00,0.00,8.70,3.10,0.60,0.00,0.00,18.84,0.41,1.00,0.00,1.00,576,0
0.00,1.10,6.00,29.00,4.00,78.00,1533.00,1.00,0.00,0.00,7.50,1.80,3.70,15.00,0.00,19.65,2.40,1.00,0.00,36.00,841,0
0.00,0.15,1.00,23.00,2.00,37.00,871.00,0.00,1.00,0.00,6.90,,1.00,0.00,0.00,23.54,0.41,1.00,1.00,1.00,529,0
0.00,1.69,5.00,28.00,4.00,37.00,1022.00,1.00,0.00,0.00,10.00,3.00,6.40,10.00,0.00,27.62,2.83,1.00,0.00,25.00,784,0
0.00,2.84,3.00,24.00,4.00,14.00,350.00,0.00,0.00,1.00,7.40,6.60,0.80,23.00,0.00,25.00,3.35,1.00,1.00,9.00,576,0
0.00,1.02,2.00,24.00,4.00,43.00,623.00,0.00,1.00,0.00,6.60,2.70,1.10,14.00,0.00,14.49,2.33,1.00,1.00,4.00,576,0
1.00,0.57,2.00,25.00,4.00,76.00,1930.00,0.00,0.00,1.00,8.90,5.50,1.00,25.00,0.00,25.39,1.74,1.00,0.00,4.00,625,1
0.00,1.23,4.00,26.00,4.00,75.00,2118.00,0.00,1.00,0.00,11.70,8.70,1.00,13.00,0.00,28.24,2.51,1.00,1.00,16.00,676,0
0.00,0.65,2.00,24.00,4.00,40.00,352.00,1.00,0.00,0.00,3.60,0.70,1.80,16.00,0.00,8.80,1.87,1.00,0.00,4.00,576,0
0.00,0.15,1.00,25.00,4.00,53.00,535.00,0.00,0.00,1.00,2.10,2.20,0.30,0.00,0.00,10.09,0.41,0.00,0.00,1.00,625,0
1.00,3.20,9.00,33.00,4.00,25.00,556.00,0.00,0.00,1.00,8.90,5.20,1.90,2.00,0.00,22.24,3.47,0.00,0.00,81.00,1089,0
0.00,1.70,4.00,26.00,4.00,76.00,2253.00,0.00,1.00,0.00,12.30,6.80,1.10,27.00,0.00,29.64,2.83,1.00,1.00,16.00,676,0
0.00,1.44,2.00,24.00,4.00,65.00,1515.00,1.00,0.00,0.00,10.30,3.60,2.10,17.00,0.00,23.31,2.67,0.00,0.00,4.00,576,0
1.00,4.13,5.00,26.00,0.00,79.00,2685.00,0.00,0.00,1.00,14.20,10.80,3.90,26.00,0.00,33.99,3.72,0.00,0.00,25.00,676,0
0.00,0.15,1.00,24.00,4.00,27.00,247.00,0.00,1.00,0.00,2.60,2.20,0.20,0.00,0.00,9.15,0.41,1.00,1.00,1.00,576,0
0.00,1.10,1.00,24.00,4.00,71.00,1762.00,0.00,1.00,0.00,9.50,5.80,1.30,12.00,0.00,24.82,2.40,1.00,0.00,1.00,576,0
0.00,0.91,2.00,25.00,4.00,30.00,923.00,1.00,0.00,0.00,14.10,3.60,3.10,15.00,0.00,30.77,2.21,1.00,0.00,4.00,625,0
0.00,0.80,4.00,26.00,4.00,73.00,1617.00,1.00,0.00,0.00,8.80,2.70,2.00,51.00,0.00,22.15,2.08,1.00,0.00,16.00,676,0
0.00,2.40,11.00,33.00,4.00,81.00,2278.00,1.00,0.00,0.00,11.90,1.90,4.20,139.00,0.00,28.12,3.18,1.00,0.00,121.00,1089,0
0.00,0.15,1.00,23.00,4.00,81.00,2700.00,1.00,0.00,0.00,13.60,2.90,5.70,37.00,1.00,33.33,0.41,1.00,0.00,1.00,529,0
1.00,1.85,12.00,33.00,3.00,80.00,1597.00,0.00,1.00,0.00,10.20,2.30,1.90,1.00,0.00,19.96,2.92,1.00,0.00,144.00,1089,1
0.00,2.00,4.00,25.00,4.00,53.00,1601.00,0.00,1.00,0.00,19.10,6.50,1.70,48.00,0.00,30.21,3.00,1.00,1.00,16.00,625,0
0.00,0.31,4.00,27.00,4.00,37.00,319.00,1.00,0.00,0.00,2.30,2.20,0.30,0.00,0.00,8.62,1.14,1.00,0.00,16.00,729,0
0.00,1.00,4.00,26.00,4.00,53.00,697.00,1.00,0.00,0.00,7.00,2.60,0.70,9.00,0.00,13.15,2.30,1.00,0.00,16.00,676,0
1.00,0.15,4.00,26.00,4.00,76.00,1726.00,1.00,0.00,,7.70,2.10,3.50,40.00,0.00,22.71,0.41,1.00,0.00,16.00,676,1
1.00,1.10,7.00,29.00,4.00,75.00,1880.00,0.00,1.00,0.00,11.50,2.20,2.00,63.00,0.00,25.07,2.40,0.00,0.00,49.00,841,0
0.00,0.25,2.00,25.00,4.00,72.00,1199.00,0.00,0.00,1.00,7.20,4.20,0.40,42.00,0.00,16.65,0.92,0.00,0.00,4.00,625,0
1.00,0.92,4.00,27.00,4.00,15.00,66.00,0.00,1.00,0.00,2.20,0.70,0.10,12.00,0.00,4.40,2.22,1.00,0.00,16.00,729,1
1.00,1.41,6.00,28.00,4.00,69.00,2201.00,0.00,1.00,0.00,11.40,7.20,2.50,33.00,0.00,31.90,2.65,1.00,1.00,36.00,784,1
0.00,1.19,2.00,23.00,3.00,63.00,1358.00,1.00,0.00,0.00,10.50,2.50,1.50,12.00,0.00,21.56,2.47,1.00,1.00,4.00,529,0
1.00,2.00,5.00,27.00,4.00,81.00,2999.00,1.00,0.00,0.00,21.10,5.40,2.30,4.00,0.00,37.02,3.00,1.00,0.00,25.00,729,1
1.00,2.45,8.00,30.00,4.00,76.00,1910.00,0.00,1.00,0.00,7.70,5.40,1.70,11.00,0.00,25.13,3.20,0.00,0.00,64.00,900,0
0.00,3.06,6.00,29.00,4.00,72.00,2410.00,0.00,0.00,1.00,15.10,10.20,1.90,9.00,0.00,33.47,3.42,1.00,0.00,36.00,841,0
0.00,2.25,3.00,25.00,4.00,78.00,2776.00,1.00,0.00,0.00,17.30,4.50,5.00,5.00,0.00,35.59,3.11,1.00,0.00,9.00,625,0
0.00,0.87,2.00,23.00,4.00,82.00,2560.00,0.00,1.00,0.00,13.50,7.60,2.00,8.00,0.00,31.22,2.16,1.00,0.00,4.00,529,0
0.00,0.65,3.00,25.00,4.00,72.00,1242.00,1.00,0.00,0.00,6.20,2.00,2.30,21.00,0.00,17.25,1.87,0.00,0.00,9.00,625,0
0.00,0.15,4.00,26.00,4.00,30.00,579.00,0.00,1.00,0.00,7.80,4.60,1.10,0.00,0.00,19.30,0.41,0.00,0.00,16.00,676,0
0.00,1.72,2.00,24.00,4.00,76.00,2127.00,1.00,0.00,0.00,12.70,4.10,1.80,8.00,0.00,27.99,2.85,1.00,0.00,4.00,576,0
1.00,0.67,3.00,24.00,4.00,82.00,1472.00,1.00,0.00,0.00,5.30,1.30,2.60,23.00,0.00,17.95,1.90,1.00,0.00,9.00,576,1
0.00,0.80,4.00,26.00,4.00,82.00,2533.00,1.00,0.00,0.00,15.30,3.20,6.70,21.00,0.00,30.89,2.08,1.00,1.00,16.00,676,0
1.00,1.47,10.00,31.00,4.00,76.00,1524.00,0.00,1.00,0.00,9.60,8.40,0.70,10.00,0.00,20.05,2.69,1.00,0.00,100.00,961,1
0.00,1.38,8.00,31.00,4.00,82.00,1921.00,0.00,0.00,1.00,3.60,5.40,0.80,69.00,0.00,23.43,2.62,1.00,1.00,64.00,961,0
0.00,0.15,1.00,26.00,0.00,5.00,33.00,0.00,1.00,0.00,3.00,3.20,0.40,0.00,0.00,6.60,0.41,1.00,1.00,1.00,676,0
1.00,1.60,5.00,27.00,4.00,49.00,1053.00,0.00,1.00,0.00,7.90,4.90,1.20,6.00,0.00,21.49,2.77,1.00,0.00,25.00,729,1
0.00,2.73,2.00,25.00,4.00,70.00,2428.00,0.00,1.00,0.00,16.80,8.60,4.40,3.00,0.00,34.69,3.31,0.00,1.00,4.00,625,0
0.00,0.38,2.00,25.00,4.00,55.00,626.00,0.00,1.00,0.00,4.50,3.60,0.20,28.00,0.00,11.38,1.32,1.00,0.00,4.00,625,0
0.00,2.00,1.00,23.00,4.00,79.00,2415.00,1.00,0.00,0.00,16.60,4.00,2.60,5.00,1.00,30.57,3.00,1.00,0.00,1.00,529,0
0.00,0.27,2.00,24.00,4.00,80.00,1617.00,1.00,0.00,0.00,5.90,1.50,3.60,34.00,0.00,20.21,0.99,1.00,0.00,4.00,576,0
1.00,1.27,5.00,27.00,4.00,72.00,2182.00,1.00,0.00,0.00,14.70,3.20,2.40,38.00,0.00,30.31,2.55,1.00,0.00,25.00,729,1
1.00,2.08,6.00,28.00,4.00,71.00,2206.00,1.00,0.00,0.00,13.70,3.10,7.20,48.00,0.00,31.07,3.03,1.00,0.00,36.00,784,1
1.00,2.92,3.00,24.00,2.00,82.00,3135.00,1.00,0.00,0.00,18.80,3.90,9.60,2.00,1.00,38.23,3.38,1.00,0.00,9.00,576,1
1.00,3.58,9.00,30.00,3.00,77.00,1817.00,0.00,0.00,1.00,9.30,6.50,0.60,3.00,0.00,23.60,3.58,1.00,0.00,81.00,900,1
1.00,0.60,1.00,25.00,4.00,79.00,1950.00,0.00,1.00,0.00,5.70,6.20,1.20,29.00,0.00,24.68,1.79,1.00,0.00,1.00,625,1
0.00,3.44,4.00,27.00,3.00,77.00,2778.00,0.00,1.00,0.00,20.20,11.30,3.40,1.00,1.00,36.08,3.54,1.00,1.00,16.00,729,0
